sample_id,user_id,age,gender,user_tag,initial_need,date,time,hour,weekday,date_type,time_slot,place_type,activity_state,heart_rate_zone,heart_rate_bpm,heart_rate_trend,sleep_minutes_last_night,sleep_quality,recent_workout_minutes_24h,breathing_rate,steps_last_10min,weather,light_lux,light_class,noise_db,noise_class,bluetooth,network,calendar_title,calendar_start_time,calendar_location,calendar_note,app_event,dwell_time_sec,next_action,user_correction_from,user_correction_to,multiday_consistency,conflict_flag,conflict_reason,confusable_group,ground_truth,ground_truth_id,gt_confidence,context_text
s00265,user_04,31,男性,母婴用户,家庭睡眠照护,2026-05-18,21:17,21,周一,工作日,晚上,酒店,静止,静息,68,下降,434,好,31,14,29,多云,579,明亮,30,安静,耳机,wifi,读书会,2026-05-18 21:17,酒店,读书会,浏览器长阅读,2427,切歌,,,0.593,False,,图书馆/专注/阅读,阅读,6,0.92,"周一 晚上 21:17，地点类型=酒店，运动状态=静止，心率=静息(68bpm,下降)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，日历=读书会，后续事件=浏览器长阅读"
s00430,user_22,26,女性,女性,情绪和身体舒缓,2026-05-03,09:58,9,周日,周末,上午,公园,慢速,静息,60,上升,319,一般,9,11,453,晴,259,室内柔光,43,安静,耳机,蜂窝数据,产检,2026-05-03 09:58,公园,产检,孕期App打开,1436,切歌,,,0.835,False,,人群专属,胎教,10,0.92,"周日 上午 09:58，地点类型=公园，运动状态=慢速，心率=静息(60bpm,上升)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=产检，后续事件=孕期App打开"
s00362,user_13,27,男性,母婴用户,家庭睡眠照护,2026-05-14,01:09,1,周四,工作日,凌晨,住宅区,静止,稍高,99,波动,547,差,6,11,46,晴,77,室内柔光,45,安静,家用音响,wifi,哄睡,2026-05-14 01:09,住宅区,哄睡,白噪音App打开,140,发起导航,专注,婴儿安睡,0.618,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.82,"周四 凌晨 01:09，地点类型=住宅区，运动状态=静止，心率=稍高(99bpm,波动)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=哄睡，后续事件=白噪音App打开"
s00395,user_12,33,男性,母婴用户,家庭睡眠照护,2026-05-02,12:45,12,周六,周末,中午,住宅区,静止,静息,56,上升,329,差,1,17,34,晴,52,室内柔光,28,安静,家用音响,wifi,哄睡,2026-05-02 12:45,住宅区,哄睡,白噪音App打开,9115,无,,,0.908,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,"周六 中午 12:45，地点类型=住宅区，运动状态=静止，心率=静息(56bpm,上升)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=哄睡，后续事件=白噪音App打开"
s00227,user_19,32,女性,女性,情绪和身体舒缓,2026-05-03,17:46,17,周日,周末,下午,酒店,静止,静息,62,下降,385,好,18,14,64,小雨,254,室内柔光,34,安静,耳机,wifi,项目截止,2026-05-03 17:46,酒店,项目截止,办公App前台,4023,切歌,,,0.889,False,,图书馆/专注/阅读,专注,5,0.92,"周日 下午 17:46，地点类型=酒店，运动状态=静止，心率=静息(62bpm,下降)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=项目截止，后续事件=办公App前台"
s00612,user_21,33,女性,女性,情绪和身体舒缓,2026-05-16,08:17,8,周六,周末,早晨,住宅区,慢速,静息,63,稳定,282,差,86,13,619,晴,959,明亮,40,安静,耳机,蜂窝数据,拉伸,2026-05-16 08:17,住宅区,拉伸,健身App瑜伽课程,3870,继续播放,,,0.779,False,,瑜伽/冥想,瑜伽,15,0.92,"周六 早晨 08:17，地点类型=住宅区，运动状态=慢速，心率=静息(63bpm,稳定)，天气=晴，光线=明亮，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=拉伸，后续事件=健身App瑜伽课程"
s00328,user_04,29,男性,母婴用户,家庭睡眠照护,2026-04-30,12:09,12,周四,工作日,中午,酒店,慢速,波动,88,下降,442,好,31,15,206,阴,169,室内柔光,68,普通,耳机,蜂窝数据,项目截止,2026-04-30 12:09,酒店,项目截止,音乐App主动播放,2647,切歌,,,0.825,False,,放松/减压/深夜EMO,减压,8,0.92,"周四 中午 12:09，地点类型=酒店，运动状态=慢速，心率=波动(88bpm,下降)，天气=阴，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=项目截止，后续事件=音乐App主动播放"
s00666,user_08,30,女性,女性,情绪和身体舒缓,2026-05-01,06:19,6,周五,工作日,早晨,公园,静止,静息,55,上升,555,一般,20,12,60,大雪,34,暗光,39,安静,耳机,蜂窝数据（弱）,,,,,健康App呼吸训练,146,继续播放,宠物陪伴,冥想,0.627,False,,瑜伽/冥想,冥想,16,0.82,"周五 早晨 06:19，地点类型=公园，运动状态=静止，心率=静息(55bpm,上升)，天气=大雪，光线=暗光，噪音=安静，蓝牙=耳机，网络=蜂窝数据（弱），后续事件=健康App呼吸训练"
s00137,user_19,20,男性,任意,日常音乐推荐,2026-05-10,07:39,7,周日,周末,早晨,高铁站,慢速,稍高,81,上升,523,好,13,22,464,阴,273,室内柔光,89,嘈杂,耳机,蜂窝数据（弱）,出差,2026-05-10 07:39,高铁站,出差,地图导航开始,2120,无,,,0.286,False,,通勤,通勤,3,0.92,"周日 早晨 07:39，地点类型=高铁站，运动状态=慢速，心率=稍高(81bpm,上升)，天气=阴，光线=室内柔光，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据（弱），日历=出差，后续事件=地图导航开始"
s00631,user_01,27,男性,母婴用户,家庭睡眠照护,2026-04-21,07:44,7,周二,工作日,早晨,公园,静止,静息,71,稳定,324,好,26,14,4,晴,92,室内柔光,43,安静,耳机,蜂窝数据,拉伸,2026-04-21 07:44,公园,拉伸,健身App瑜伽课程,2679,收藏,,,0.501,False,,瑜伽/冥想,瑜伽,15,0.92,"周二 早晨 07:44，地点类型=公园，运动状态=静止，心率=静息(71bpm,稳定)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=拉伸，后续事件=健身App瑜伽课程"
