sample_id,user_id,age,gender,user_tag,initial_need,date,time,hour,weekday,date_type,time_slot,place_type,activity_state,heart_rate_zone,heart_rate_bpm,heart_rate_trend,sleep_minutes_last_night,sleep_quality,recent_workout_minutes_24h,breathing_rate,steps_last_10min,weather,light_lux,light_class,noise_db,noise_class,bluetooth,network,calendar_title,calendar_start_time,calendar_location,calendar_note,app_event,dwell_time_sec,next_action,user_correction_from,user_correction_to,multiday_consistency,conflict_flag,conflict_reason,confusable_group,ground_truth,ground_truth_id,gt_confidence,context_text,app_event_available,calendar_available,original_place_type,place_type_available,place_type_quality,place_type_confidence,activity_state_available,heart_rate_available,heart_rate_quality,sleep_available,signal_availability_profile
s00265,user_04,31,男性,母婴用户,家庭睡眠照护,2026-05-18,21:17,21,周一,工作日,晚上,酒店,任意,任意,,,,,,,,多云,579,明亮,30,安静,耳机,wifi,,,,,,2427,切歌,,,0.593,False,,图书馆/专注/阅读,阅读,6,0.92,周一 晚上 21:17，地点类型=酒店，运动状态=任意，心率=任意，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，信号完整度=medium,0,0,酒店,1,exact_or_good_mapping,0.85,0,0,missing,0,medium
s00430,user_22,26,女性,女性,情绪和身体舒缓,2026-05-03,09:58,9,周日,周末,上午,公园,任意,静息,60,上升,319,一般,,11,,晴,259,室内柔光,43,安静,耳机,蜂窝数据,,,,,,1436,切歌,,,0.835,False,,人群专属,胎教,10,0.92,周日 上午 09:58，地点类型=公园，运动状态=任意，心率=静息，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，信号完整度=rich,0,0,公园,1,exact_or_good_mapping,0.85,0,1,available,1,rich
s00362,user_13,27,男性,母婴用户,家庭睡眠照护,2026-05-14,01:09,1,周四,工作日,凌晨,住宅区,任意,稍高,99,波动,,,,,,晴,77,室内柔光,45,安静,家用音响,wifi,,,,,,140,发起导航,专注,婴儿安睡,0.618,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.82,周四 凌晨 01:09，地点类型=住宅区，运动状态=任意，心率=稍高，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，信号完整度=medium,0,0,住宅区,1,exact_or_good_mapping,0.85,0,1,available,0,medium
s00395,user_12,33,男性,母婴用户,家庭睡眠照护,2026-05-02,12:45,12,周六,周末,中午,酒店,静止,任意,,,329,差,1,17,34,晴,52,室内柔光,28,安静,家用音响,wifi,,,,,白噪音App打开,9115,无,,,0.908,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,周六 中午 12:45，地点类型=酒店，运动状态=静止，心率=任意，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=白噪音App打开，信号完整度=rich,1,0,住宅区,1,noisy_mapping,0.35,1,0,missing,1,rich
s00227,user_19,32,女性,女性,情绪和身体舒缓,2026-05-03,17:46,17,周日,周末,下午,酒店,静止,静息,62,下降,,,18,,64,小雨,254,室内柔光,34,安静,耳机,wifi,项目截止,2026-05-03 17:46,酒店,项目截止,,4023,切歌,,,0.889,False,,图书馆/专注/阅读,专注,5,0.92,周日 下午 17:46，地点类型=酒店，运动状态=静止，心率=静息，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=项目截止，信号完整度=rich,0,1,酒店,1,exact_or_good_mapping,0.85,1,1,available,0,rich
s00612,user_21,33,女性,女性,情绪和身体舒缓,2026-05-16,08:17,8,周六,周末,早晨,住宅区,慢速,静息,63,稳定,,,86,,619,晴,959,明亮,40,安静,耳机,蜂窝数据,,,,,,3870,继续播放,,,0.779,False,,瑜伽/冥想,瑜伽,15,0.92,周六 早晨 08:17，地点类型=住宅区，运动状态=慢速，心率=静息，天气=晴，光线=明亮，噪音=安静，蓝牙=耳机，网络=蜂窝数据，信号完整度=rich,0,0,住宅区,1,exact_or_good_mapping,0.85,1,1,available,0,rich
s00328,user_04,29,男性,母婴用户,家庭睡眠照护,2026-04-30,12:09,12,周四,工作日,中午,酒店,慢速,任意,,,,,31,,206,阴,169,室内柔光,68,普通,耳机,蜂窝数据,,,,,,2647,切歌,,,0.825,False,,放松/减压/深夜EMO,减压,8,0.92,周四 中午 12:09，地点类型=酒店，运动状态=慢速，心率=任意，天气=阴，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，信号完整度=medium,0,0,酒店,1,exact_or_good_mapping,0.85,1,0,missing,0,medium
s00666,user_08,30,女性,女性,情绪和身体舒缓,2026-05-01,06:19,6,周五,工作日,早晨,公园,静止,任意,,,555,一般,20,12,60,大雪,34,暗光,39,安静,耳机,蜂窝数据（弱）,,,,,,146,继续播放,宠物陪伴,冥想,0.627,False,,瑜伽/冥想,冥想,16,0.82,周五 早晨 06:19，地点类型=公园，运动状态=静止，心率=任意，天气=大雪，光线=暗光，噪音=安静，蓝牙=耳机，网络=蜂窝数据（弱），信号完整度=rich,0,0,公园,1,exact_or_good_mapping,0.85,1,0,missing,1,rich
s00137,user_19,20,男性,任意,日常音乐推荐,2026-05-10,07:39,7,周日,周末,早晨,高铁站,慢速,任意,,,,,13,,464,阴,273,室内柔光,89,嘈杂,耳机,蜂窝数据（弱）,出差,2026-05-10 07:39,高铁站,出差,,2120,无,,,0.286,False,,通勤,通勤,3,0.92,周日 早晨 07:39，地点类型=高铁站，运动状态=慢速，心率=任意，天气=阴，光线=室内柔光，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据（弱），日历=出差，信号完整度=rich,0,1,高铁站,1,exact_or_good_mapping,0.85,1,0,missing,0,rich
s00631,user_01,27,男性,母婴用户,家庭睡眠照护,2026-04-21,07:44,7,周二,工作日,早晨,公园,静止,任意,,,,,26,,4,晴,92,室内柔光,43,安静,耳机,蜂窝数据,,,,,健身App瑜伽课程,2679,收藏,,,0.501,False,,瑜伽/冥想,瑜伽,15,0.92,周二 早晨 07:44，地点类型=公园，运动状态=静止，心率=任意，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，后续事件=健身App瑜伽课程，信号完整度=rich,1,0,公园,1,exact_or_good_mapping,0.85,1,0,missing,0,rich
s00494,user_03,28,女性,女性,情绪和身体舒缓,2026-05-15,08:24,8,周五,工作日,早晨,酒店,静止,稍高,102,波动,,,13,,30,阴,99,室内柔光,29,安静,家用音响,蜂窝数据,经期提醒,2026-05-15 08:24,酒店,经期提醒,,3966,调低音量,,,0.739,False,,人群专属,经期舒缓,12,0.92,周五 早晨 08:24，地点类型=酒店，运动状态=静止，心率=稍高，天气=阴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，日历=经期提醒，信号完整度=rich,0,1,酒店,1,exact_or_good_mapping,0.85,1,1,available,0,rich
